VERSION: TICRA-EM-FIELD-V0.1
Field data in grid
SOURCE_FIELD_NAME: Primary_PO_Calc_1
FREQUENCY_NAME: Frequency_1
FREQUENCY:  750.000000000000 GHz,
++++
 1
           1           3           3           3
           0           0
 -0.1200000000E+01 -0.1200000000E+01  0.1200000000E+01  0.1200000000E+01
         101         101           0
 -0.1184053299E-09 -0.6093061925E-09  0.1574787424E-10  0.8099380933E-10  0.5512405531E-10 -0.6767747642E-09
  0.4221160550E-09  0.2597835516E-09 -0.1761867231E-10  0.3120847222E-10  0.4937367697E-09  0.4391922447E-09
 -0.4352700493E-09  0.3155250445E-10 -0.6097078638E-11 -0.4891737089E-10 -0.6597293685E-09 -0.1405092442E-11
  0.4081116194E-09 -0.1243115470E-09 -0.6347745280E-10 -0.2819703713E-10  0.5838191047E-09 -0.3245447623E-09
 -0.2947096255E-09  0.2381160063E-09  0.2518585127E-10 -0.8849766372E-11 -0.3958528505E-09  0.5313061737E-09
  0.2167837473E-09 -0.1893789578E-09 -0.2680121100E-10 -0.5552273025E-10  0.2277565323E-09 -0.6061663249E-09
 -0.1280407459E-09  0.2384384148E-09 -0.3278693387E-11 -0.1923960514E-10 -0.8739630208E-10  0.6528539503E-09
  0.5641522028E-10 -0.1611039066E-09  0.4695005413E-10 -0.1054537735E-10 -0.6353518835E-11 -0.6510019156E-09
 -0.9295274459E-10  0.1623933464E-09  0.4406831041E-11 -0.3748888797E-10  0.4728183449E-10  0.6598052832E-09
  0.1330995350E-09  0.5143093348E-10 -0.4194372927E-10 -0.9343927482E-10 -0.5024792852E-10 -0.6315203889E-09
 -0.1545908411E-09 -0.2193904671E-10  0.5564519905E-10  0.2345346012E-10  0.3283888864E-10  0.6485883169E-09
  0.1462217919E-09  0.8777704741E-10 -0.5671175785E-10 -0.1993794951E-10  0.2019179750E-10 -0.6515114592E-09
 -0.8649722284E-10 -0.2497554213E-09  0.2765911675E-10  0.8137506266E-10 -0.1032948183E-09  0.6325338048E-09
 -0.6636164819E-10  0.2323341126E-09  0.5227848381E-10  0.1049687656E-10  0.2171514857E-09 -0.6179300631E-09
